lp,ilosc_osob,dorosli,potencjalne_dzieci,odpowiedz,ilosc_gosci,ilosc_osob_hotel,ilosc_pokoi,ilosc_dob,sniadanie_1_dzien,koperta_pln,koperta_usd,koperta_eur,koperta_gbp,zal_przybycia,przybycie,kobiety,mezczyzni,dzieci,typ_gosci
86,2,2,,Potwierdzenie,1,0,0,0,0,400,,,,tak,tak,1,0,,znajomi_natalii
87,2,2,,Potwierdzenie,2,0,0,0,0,1000,,,,tak,tak,1,1,,znajomi_natalii
88,2,2,,Potwierdzenie,2,0,0,0,0,1000,,,,tak,tak,1,1,,znajomi_natalii
89,2,2,,Potwierdzenie,2,0,0,0,0,800,,,,tak,tak,1,1,,znajomi_natalii
90,2,2,,Potwierdzenie,1,0,0,0,0,500,,,,tak,tak,1,0,,znajomi_natalii
91,2,2,,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,znajomi_natalii
92,2,2,,Potwierdzenie,2,0,0,0,0,1000,,,,może,tak,1,1,,znajomi_natalii
93,2,2,,Potwierdzenie,2,2,1,1,1,1500,,,,tak,tak,1,1,,znajomi_natalii
94,2,2,,Odmowa,0,-,-,-,-,,,,,tak,nie,0,0,,znajomi_natalii
95,2,2,,Potwierdzenie,2,2,1,1,1,0,,,,tak,tak,1,1,,
